NUM, BAND, TIME
1,0,1576263169
2,0,1576263170
3,0,1576263171
4,0,1576263172
5,11321483264,1576263173
6,51367243776,1576263174
7,52495388672,1576263175
8,56800313344,1576263176
9,56817090560,1576263177
10,55581925376,1576263178
11,56271831040,1576263179
12,57077137408,1576263180
13,57162072064,1576263181
14,57185140736,1576263182
15,57058263040,1576263183
16,55176556544,1576263184
17,47279783936,1576263185
18,42756444160,1576263186
19,45319786496,1576263187
20,36558602240,1576263188
21,32551993344,1576263189
22,44279255040,1576263190
23,43365928960,1576263191
24,49229729792,1576263192
25,50040680448,1576263193
26,50040168448,1576263194
27,47762640896,1576263195
28,38689210368,1576263196
29,21287221248,1576263197
30,22752264192,1576263198
31,35249651712,1576263199
32,43663269888,1576263200
33,32778428416,1576263201
34,21794273280,1576263202
35,22610718720,1576263203
36,26746626048,1576263204
37,21135097856,1576263205
38,25508040704,1576263206
39,26143244288,1576263207
40,27292696576,1576263208
41,33397952512,1576263209
42,25306447872,1576263210
43,25493667840,1576263211
44,23319867392,1576263212
45,24363827200,1576263213
46,22741426176,1576263214
47,22181314560,1576263215
48,23073099776,1576263216
49,44023013376,1576263217
50,47398072320,1576263218
51,50267164672,1576263219
52,48731082752,1576263220
53,49321119744,1576263221
54,48339582976,1576263222
55,50281865216,1576263223
56,50648883200,1576263224
57,52040310784,1576263225
58,52560412672,1576263226
59,51541409792,1576263227
60,52425138176,1576263228
61,52416745472,1576263229
62,51972898816,1576263230
63,52939456512,1576263231
64,53248786432,1576263232
65,53271855104,1576263233
66,51525627904,1576263234
67,52252114944,1576263235
68,52722925568,1576263236
69,53109854208,1576263237
70,53190066176,1576263238
71,52008333312,1576263239
72,52435095552,1576263240
73,52155121664,1576263241
74,52118949888,1576263242
75,52656345088,1576263243
76,52662108160,1576263244
77,51686416384,1576263245
78,52030345216,1576263246
79,52470747136,1576263247
80,52847714304,1576263248
81,52828307456,1576263249
82,51988922368,1576263250
83,51776581632,1576263251
84,52020899840,1576263252
85,52191825920,1576263253
86,52382666752,1576263254
87,52737605632,1576263255
88,52785840128,1576263256
89,52469694464,1576263257
90,52135731200,1576263258
91,51639980032,1576263259
92,52617543680,1576263260
93,52555153408,1576263261
94,52233240576,1576263262
95,50225741824,1576263263
96,0,1576263264
97,0,1576263265
98,0,1576263266
99,0,1576263267
100,0,1576263268
101,0,1576263269
